Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Mika Biereth,2026-01-31,AS Monaco,Stade Rennais,6.8,34,3650.0,7.0,107.35,0,2,0.19,0.25,8,12,3,0,0,0,1,16,0,1.92
Mika Biereth,2026-02-05,RC Strasbourg,AS Monaco,6.8,73,7808.0,14.0,106.96,1,0,0.0,0.0,11,14,0,0,0,0,3,25,0,1.79
Mika Biereth,2026-02-08,Nice,AS Monaco,6.5,15,1592.0,3.0,106.13,0,0,0.0,0.0,1,2,0,0,0,0,0,4,0,1.88
Mika Biereth,2026-02-13,AS Monaco,Nantes,6.6,14,1554.0,3.0,111.0,0,0,0.0,0.0,3,7,1,0,0,0,2,14,0,1.93
Mika Biereth,2026-02-17,AS Monaco,Paris Saint-Germain,6.3,7,743.0,1.0,106.14,0,0,0.0,0.0,0,1,0,0,0,0,0,2,0,1.35
Mika Biereth,2026-02-21,RC Lens,AS Monaco,6.5,5,567.0,1.0,113.4,0,0,0.0,0.0,1,3,0,0,0,0,2,4,0,1.76
Mika Biereth,2026-02-25,Paris Saint-Germain,AS Monaco,5.9,16,1714.0,3.0,107.12,0,0,0.0,0.0,1,3,0,0,0,0,0,8,0,1.75
Mika Biereth,2026-02-28,AS Monaco,Angers,6.5,17,1823.0,3.0,107.24,0,0,0.0,0.0,1,5,0,0,0,0,1,6,0,1.65
Mika Biereth,2026-03-06,Paris Saint-Germain,AS Monaco,6.3,9,970.0,2.0,107.78,0,0,0.0,0.01,1,2,1,0,0,0,0,6,0,2.06
Mika Biereth,2026-03-14,AS Monaco,Stade Brestois,6.9,20,2138.0,4.0,106.9,0,0,0.0,0.3,4,4,2,0,0,0,1,6,0,1.87
Mika Biereth,2026-03-22,Olympique Lyonnais,AS Monaco,6.6,5,588.0,1.0,117.6,0,0,0.0,0.02,4,6,2,0,0,0,2,9,0,1.7
Mika Biereth,2026-04-05,AS Monaco,Olympique de Marseille,6.4,6,643.0,1.0,107.17,0,0,0.0,0.0,2,2,0,0,0,0,0,3,0,1.56
Mika Biereth,2026-04-10,Paris FC,AS Monaco,,3,315.0,1.0,105.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,3.17
Mika Biereth,2026-04-19,AS Monaco,Auxerre,6.5,2,231.0,0.0,115.5,0,0,0.0,0.0,1,1,0,0,0,0,1,2,0,0.0
Mika Biereth,2026-04-25,Toulouse,AS Monaco,6.5,6,680.0,1.0,113.33,0,0,0.0,0.03,3,5,1,0,0,0,1,9,0,1.47
