Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Maxime Dupé,2026-02-01,Nice,Stade Brestois,6.2,90,9614.0,17.0,106.82,0,0,0.0,0.0,20,29,0,0,0,0,2,33,0,1.77
Maxime Dupé,2026-02-04,Nice,Montpellier,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Maxime Dupé,2026-02-08,Nice,AS Monaco,6.6,90,9638.0,17.0,107.09,0,0,0.0,0.0,11,25,0,0,0,0,5,30,0,1.76
Maxime Dupé,2026-02-15,Olympique Lyonnais,Nice,6.6,90,9760.0,17.0,108.44,0,0,0.0,0.0,31,42,0,0,0,0,8,50,0,1.74
Maxime Dupé,2026-02-22,Nice,Lorient,5.7,90,9710.0,17.0,107.89,0,0,0.0,0.0,19,34,0,0,0,0,7,41,0,1.75
Maxime Dupé,2026-03-01,Paris FC,Nice,7.8,90,9609.0,17.0,106.77,0,0,0.0,0.0,17,21,1,0,0,0,3,29,0,1.77
Maxime Dupé,2026-03-04,Lorient,Nice,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Maxime Dupé,2026-03-08,Nice,Stade Rennais,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Maxime Dupé,2026-03-14,Angers,Nice,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Maxime Dupé,2026-03-21,Nice,Paris Saint-Germain,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Maxime Dupé,2026-04-04,RC Strasbourg,Nice,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Maxime Dupé,2026-04-12,Nice,Le Havre,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Maxime Dupé,2026-04-18,Lille,Nice,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Maxime Dupé,2026-04-22,RC Strasbourg,Nice,7.3,90,9722.0,17.0,108.02,0,0,0.0,0.0,12,24,0,0,0,0,9,38,0,1.75
Maxime Dupé,2026-04-26,Olympique de Marseille,Nice,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
