Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity,Age
Gaëtan Perrin,2025-11-30,FC Krasnodar,Krylya Sovetov Samara,6.5,27,2916.0,5.0,108.0,0,0,0.0,0.0,13,16,1,0,0,0,1,25,0,1.71,29
Gaëtan Perrin,2025-12-07,FC Krasnodar,CSKA Moscow,6.4,14,1512.0,3.0,108.0,0,0,0.0,0.0,8,10,0,0,0,0,0,16,0,1.98,29
Gaëtan Perrin,2026-02-06,Metz,Lille,6.3,19,2052.0,4.0,108.0,0,0,0.03,0.06,3,9,2,0,0,0,0,23,0,1.95,29
Gaëtan Perrin,2026-02-14,Lille,Stade Brestois,7.8,24,2592.0,5.0,108.0,1,0,0.26,0.04,8,9,0,0,0,0,1,24,0,1.93,29
Gaëtan Perrin,2026-02-19,Lille,FK Crvena zvezda,6.3,62,6696.0,12.0,108.0,0,0,0.0,0.12,15,20,0,0,0,0,0,35,0,1.79,29
Gaëtan Perrin,2026-02-22,Angers,Lille,7.3,73,7884.0,15.0,108.0,0,0,0.0,1.11,19,21,5,0,1,0,5,37,0,1.9,29
Gaëtan Perrin,2026-02-26,FK Crvena zvezda,Lille,6.5,71,7668.0,14.0,108.0,0,0,0.18,0.03,14,19,0,0,0,0,2,43,0,1.83,29
Gaëtan Perrin,2026-03-01,Lille,Nantes,6.6,74,7992.0,15.0,108.0,0,0,0.0,0.2,22,29,1,0,0,0,2,44,0,1.88,29
Gaëtan Perrin,2026-03-08,Lille,Lorient,6.5,73,7884.0,15.0,108.0,0,0,0.13,0.01,19,24,0,0,1,0,2,43,0,1.9,29
Gaëtan Perrin,2026-03-12,Lille,Aston Villa,6.2,52,5616.0,10.0,108.0,0,0,0.0,0.03,13,17,1,0,0,0,1,28,0,1.78,29
Gaëtan Perrin,2026-04-04,Lille,RC Lens,6.6,10,1080.0,2.0,108.0,0,0,0.0,0.01,5,6,0,0,0,0,1,8,0,1.85,29
Gaëtan Perrin,2026-04-12,Toulouse,Lille,6.6,19,2052.0,4.0,108.0,0,0,0.0,0.02,9,10,1,0,0,0,0,18,0,1.95,29
Gaëtan Perrin,2026-04-18,Lille,Nice,,1,108.0,0.0,108.0,0,0,0.0,0.11,3,4,0,0,0,0,0,9,0,0.0,29
Gaëtan Perrin,2026-04-26,Paris FC,Lille,6.6,13,1404.0,3.0,108.0,0,0,0.0,0.0,1,1,1,0,0,0,0,3,0,2.14,29
