Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Simon Adingra,24,2026-02-08,Nice,AS Monaco,6.4,75,8100.0,15.0,108.0,0,0,0.04,0.02,13,20,1,0,0,0,1,43,0.0,1.85
Simon Adingra,24,2026-02-13,AS Monaco,Nantes,8.8,90,9720.0,18.0,108.0,2,0,0.83,0.03,20,22,0,0,1,0,4,48,0.0,1.85
Simon Adingra,24,2026-02-17,AS Monaco,Paris Saint-Germain,6.1,70,7560.0,14.0,108.0,0,0,0.08,0.0,8,10,0,0,0,0,0,18,0.0,1.85
Simon Adingra,24,2026-02-21,RC Lens,AS Monaco,5.8,68,7344.0,14.0,108.0,0,0,0.07,0.01,17,22,0,0,0,0,4,35,0.0,1.91
Simon Adingra,24,2026-02-25,Paris Saint-Germain,AS Monaco,6.6,16,1728.0,3.0,108.0,0,0,0.0,0.0,4,6,0,0,0,0,3,9,0.0,1.74
Simon Adingra,24,2026-02-28,AS Monaco,Angers,7.5,45,4860.0,9.0,108.0,1,0,0.06,0.03,19,24,0,0,1,0,5,32,0.0,1.85
Simon Adingra,24,2026-03-06,Paris Saint-Germain,AS Monaco,6.2,9,972.0,2.0,108.0,0,0,0.09,0.0,3,9,0,0,0,0,1,15,0.0,2.06
Simon Adingra,24,2026-03-14,AS Monaco,Stade Brestois,6.2,83,8964.0,17.0,108.0,0,0,0.0,0.09,31,41,1,0,0,0,11,74,0.0,1.9
Simon Adingra,24,2026-03-22,Olympique Lyonnais,AS Monaco,6.6,74,7992.0,15.0,108.0,0,0,0.02,0.03,21,27,1,0,1,0,7,45,0.0,1.88
Simon Adingra,24,2026-03-28,South Korea,Côte d'Ivoire,7.8,79,8532.0,16.0,108.0,1,0,0.0,0.0,18,21,1,0,0,0,1,39,0.0,1.88
Simon Adingra,24,2026-03-31,Scotland,Côte d'Ivoire,7.1,21,2268.0,4.0,108.0,0,0,0.0,0.0,12,12,0,0,0,0,1,17,0.0,1.76
Simon Adingra,24,2026-04-05,AS Monaco,Olympique de Marseille,6.7,6,648.0,1.0,108.0,0,0,0.52,0.0,0,1,0,0,0,0,0,3,0.0,1.54
Simon Adingra,24,2026-04-10,Paris FC,AS Monaco,6.9,90,9720.0,18.0,108.0,0,0,0.2,1.01,40,48,5,0,1,0,7,81,0.0,1.85
Simon Adingra,24,2026-04-19,AS Monaco,Auxerre,7.1,45,4860.0,9.0,108.0,0,0,0.17,0.07,17,23,0,0,0,0,2,39,0.0,1.85
Simon Adingra,24,2026-04-25,Toulouse,AS Monaco,6.4,84,9072.0,17.0,108.0,0,1,0.3,0.35,22,30,1,0,1,0,8,48,0.0,1.87
Simon Adingra,24,2026-05-02,Metz,AS Monaco,6.3,58,,,0.0,0,0,0.03,0.3,22,25,3,0,0,0,4,43,,
Simon Adingra,24,2026-05-10,AS Monaco,Lille,6.4,58,,,0.0,0,0,0.07,0.02,13,18,0,0,1,0,4,32,,
