Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Simon Ebonog,2025-12-21,Le Havre,Amiens SC,6.3,45,,,0.0,0,0,0.0,0.0,35,35,1,0,3,0,1,44
Simon Ebonog,2026-01-04,Le Havre,Angers,6.1,57,,,0.0,0,0,0.0,0.0,16,19,0,0,1,0,2,26
Simon Ebonog,2026-01-18,Stade Rennais,Le Havre,6.4,90,,,0.0,0,0,0.03,0.01,18,26,0,0,2,0,7,42
Simon Ebonog,2026-01-24,Le Havre,AS Monaco,7.0,90,,,0.0,0,0,0.05,0.01,23,29,0,0,0,0,4,47
Simon Ebonog,2026-01-30,RC Lens,Le Havre,7.0,89,,,0.0,0,0,0.0,0.02,20,26,0,0,2,0,4,41
Simon Ebonog,2026-02-08,Le Havre,RC Strasbourg,6.5,89,,,0.0,0,0,0.18,0.04,18,23,1,0,0,0,4,38
Simon Ebonog,2026-02-15,Le Havre,Toulouse,6.3,65,,,0.0,0,0,0.0,0.02,14,17,1,0,1,0,4,33
Simon Ebonog,2026-02-22,Nantes,Le Havre,6.7,90,,,0.0,0,0,0.0,0.01,33,43,0,0,2,0,6,64
Simon Ebonog,2026-02-28,Le Havre,Paris Saint-Germain,6.4,90,,,0.0,0,0,0.0,0.03,24,34,1,0,0,0,5,49
Simon Ebonog,2026-03-08,Stade Brestois,Le Havre,6.1,90,,,0.0,0,0,0.05,0.02,16,18,0,0,3,0,4,48
Simon Ebonog,2026-03-22,Paris FC,Le Havre,6.0,75,,,0.0,0,0,0.21,0.01,12,15,0,0,1,0,4,31
Simon Ebonog,2026-04-05,Le Havre,Auxerre,8.0,77,,,0.0,1,0,0.37,0.01,15,17,1,0,0,0,6,31
Simon Ebonog,2026-04-12,Nice,Le Havre,6.3,71,,,0.0,0,0,0.1,0.23,13,17,2,0,0,0,5,32
Simon Ebonog,2026-04-18,Angers,Le Havre,6.8,22,,,0.0,0,0,0.0,0.0,3,3,0,0,1,0,1,7
Simon Ebonog,2026-04-26,Le Havre,Metz,6.4,89,,,0.0,0,0,0.02,0.0,12,13,0,0,2,0,4,29
