Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Lucas Gourna-Douath,2026-01-06,Red Bull Salzburg,FC Bayern München,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Lucas Gourna-Douath,2026-01-10,Raków Częstochowa,Red Bull Salzburg,7.0,28,3129.0,5.0,111.75,0,0,0.0,0.0,38,40,0,0,0,0,1,42,0,1.6
Lucas Gourna-Douath,2026-01-24,Le Havre,AS Monaco,7.1,90,9710.0,22.0,107.89,0,0,0.0,0.02,25,30,1,0,3,0,6,44,0,2.27
Lucas Gourna-Douath,2026-01-30,RC Lens,Le Havre,7.0,90,9819.0,19.0,109.1,0,0,0.06,0.03,41,49,0,0,1,0,7,67,0,1.94
Lucas Gourna-Douath,2026-02-08,Le Havre,RC Strasbourg,6.8,90,9773.0,17.0,108.59,0,0,0.0,0.01,38,42,1,0,0,0,6,59,0,1.74
Lucas Gourna-Douath,2026-02-15,Le Havre,Toulouse,6.9,90,9597.0,20.0,106.63,0,0,0.0,0.01,12,12,0,0,2,0,2,29,0,2.08
Lucas Gourna-Douath,2026-02-22,Nantes,Le Havre,6.5,90,9878.0,17.0,109.76,0,0,0.0,0.01,60,69,0,0,0,0,5,87,0,1.72
Lucas Gourna-Douath,2026-02-28,Le Havre,Paris Saint-Germain,6.4,84,9113.0,16.0,108.49,0,0,0.04,0.04,31,37,0,0,0,0,6,52,0,1.76
Lucas Gourna-Douath,2026-03-08,Stade Brestois,Le Havre,7.4,90,9890.0,20.0,109.89,0,0,0.0,0.03,55,62,1,0,2,0,10,75,0,2.02
Lucas Gourna-Douath,2026-03-15,Le Havre,Olympique Lyonnais,7.1,90,9668.0,19.0,107.42,0,0,0.02,0.03,17,18,0,0,1,0,5,37,0,1.97
Lucas Gourna-Douath,2026-03-22,Paris FC,Le Havre,6.8,89,9685.0,19.0,108.82,0,0,0.03,0.06,49,53,1,0,1,0,6,63,0,1.96
Lucas Gourna-Douath,2026-04-05,Le Havre,Auxerre,7.0,90,9689.0,17.0,107.66,0,0,0.01,0.01,29,31,1,0,0,0,4,45,0,1.75
Lucas Gourna-Douath,2026-04-12,Nice,Le Havre,6.7,90,9760.0,19.0,108.44,0,0,0.03,0.02,34,43,0,0,1,0,6,56,0,1.95
Lucas Gourna-Douath,2026-04-18,Angers,Le Havre,6.9,68,7387.0,16.0,108.63,0,0,0.0,0.08,27,27,1,0,2,0,7,38,0,2.17
Lucas Gourna-Douath,2026-04-26,Le Havre,Metz,6.4,45,4934.0,9.0,109.64,0,0,0.0,0.0,15,23,0,0,0,0,5,35,0,1.82
