Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Felix Mambimbi,2025-11-30,Le Havre,Lille,6.6,10,,,0.0,0,0,0.0,0.0,1,2,0,0,0,0,1,6
Felix Mambimbi,2025-12-07,Le Havre,Paris FC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Felix Mambimbi,2025-12-14,Olympique Lyonnais,Le Havre,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Felix Mambimbi,2025-12-21,Le Havre,Amiens SC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Felix Mambimbi,2026-01-04,Le Havre,Angers,6.1,66,,,0.0,0,0,0.0,0.03,20,27,1,0,0,0,4,35
Felix Mambimbi,2026-01-18,Stade Rennais,Le Havre,6.9,79,,,0.0,1,0,0.31,0.01,8,11,0,0,0,0,4,25
Felix Mambimbi,2026-01-24,Le Havre,AS Monaco,6.5,65,,,0.0,0,0,0.0,0.02,11,17,1,0,0,0,5,25
Felix Mambimbi,2026-01-30,RC Lens,Le Havre,6.7,9,,,0.0,0,0,0.0,0.0,3,3,0,0,0,0,0,7
Felix Mambimbi,2026-02-08,Le Havre,RC Strasbourg,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Felix Mambimbi,2026-02-22,Nantes,Le Havre,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Felix Mambimbi,2026-02-28,Le Havre,Paris Saint-Germain,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Felix Mambimbi,2026-03-08,Stade Brestois,Le Havre,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Felix Mambimbi,2026-03-15,Le Havre,Olympique Lyonnais,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Felix Mambimbi,2026-03-22,Paris FC,Le Havre,6.4,42,,,0.0,0,0,0.0,0.0,3,4,1,0,0,0,0,6
Felix Mambimbi,2026-04-26,Le Havre,Metz,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
