Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity,Age
Mostafa Mohamed,2026-01-25,Nantes,Nice,6.9,90,9720.0,18.0,108.0,1,0,0.76,0.28,15,23,2,0,0,0,2,42,0,1.85,28
Mostafa Mohamed,2026-01-31,Lorient,Nantes,6.7,77,8316.0,15.0,108.0,0,0,0.29,0.33,9,15,2,0,0,0,0,31,0,1.8,28
Mostafa Mohamed,2026-02-07,Nantes,Olympique Lyonnais,5.9,45,4860.0,9.0,108.0,0,0,0.0,0.0,2,3,0,0,1,0,2,15,0,1.85,28
Mostafa Mohamed,2026-02-13,AS Monaco,Nantes,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,28
Mostafa Mohamed,2026-02-22,Nantes,Le Havre,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,28
Mostafa Mohamed,2026-03-01,Lille,Nantes,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,28
Mostafa Mohamed,2026-03-07,Nantes,Angers,6.1,24,2592.0,5.0,108.0,0,0,0.06,0.0,3,5,0,0,0,0,0,11,0,1.93,28
Mostafa Mohamed,2026-03-22,Nantes,RC Strasbourg,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,28
Mostafa Mohamed,2026-03-27,Saudi Arabia,Egypt,6.7,32,3456.0,6.0,108.0,0,0,0.0,0.0,5,8,0,0,0,0,2,20,0,1.74,28
Mostafa Mohamed,2026-03-31,Spain,Egypt,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,28
Mostafa Mohamed,2026-04-05,Metz,Nantes,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,28
Mostafa Mohamed,2026-04-11,Auxerre,Nantes,6.8,9,972.0,2.0,108.0,0,0,0.02,0.0,0,2,0,0,0,0,0,9,0,2.06,28
Mostafa Mohamed,2026-04-19,Nantes,Stade Brestois,7.6,77,8316.0,15.0,108.0,1,0,0.07,0.0,11,16,1,0,1,0,5,30,0,1.8,28
Mostafa Mohamed,2026-04-22,Paris Saint-Germain,Nantes,6.9,65,7020.0,13.0,108.0,0,0,0.0,0.02,10,13,0,0,0,0,1,21,0,1.85,28
Mostafa Mohamed,2026-04-26,Stade Rennais,Nantes,6.5,13,1404.0,3.0,108.0,0,0,0.1,0.0,1,3,0,0,0,0,0,6,0,2.14,28
