Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Romelle Donovan,2026-01-17,Chelsea,Brentford,,1,,,0.0,0,0,0.05,0.01,2,3,1,0,0,0,1,6
Romelle Donovan,2026-01-25,Brentford,Nottingham Forest,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Romelle Donovan,2026-02-01,Aston Villa,Brentford,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Romelle Donovan,2026-02-07,Newcastle United,Brentford,6.4,10,,,0.0,0,0,0.02,0.0,3,6,0,0,0,0,1,11
Romelle Donovan,2026-02-12,Brentford,Arsenal,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Romelle Donovan,2026-02-16,Macclesfield FC,Brentford,5.8,89,,,0.0,0,0,0.0,0.0,28,37,0,0,0,0,2,68
Romelle Donovan,2026-02-21,Brentford,Brighton & Hove Albion,6.6,9,,,0.0,0,0,0.0,0.0,2,2,0,0,0,0,0,6
Romelle Donovan,2026-02-28,Burnley,Brentford,6.8,18,,,0.0,0,0,0.02,0.0,2,5,0,0,0,0,3,11
Romelle Donovan,2026-03-03,Bournemouth,Brentford,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Romelle Donovan,2026-03-09,West Ham United,Brentford,6.5,33,,,0.0,0,0,0.0,0.0,8,9,0,0,1,0,1,17
Romelle Donovan,2026-03-16,Brentford,Wolverhampton,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Romelle Donovan,2026-03-21,Leeds United,Brentford,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Romelle Donovan,2026-04-11,Brentford,Everton,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Romelle Donovan,2026-04-18,Brentford,Fulham,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Romelle Donovan,2026-04-27,Manchester United,Brentford,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
