Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Sergio Camello,25,2026-01-24,Rayo Vallecano,Osasuna,6.4,18,1944.0,4.0,108.0,0,0,0.01,0.01,10,14,1,0,0,0,0,16,0.0,2.06
Sergio Camello,25,2026-02-01,Real Madrid,Rayo Vallecano,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Sergio Camello,25,2026-02-15,Rayo Vallecano,Atlético Madrid,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Sergio Camello,25,2026-03-04,Rayo Vallecano,Real Oviedo,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Sergio Camello,25,2026-03-08,Sevilla,Rayo Vallecano,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Sergio Camello,25,2026-03-12,Samsunspor,Rayo Vallecano,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Sergio Camello,25,2026-03-16,Rayo Vallecano,Levante UD,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Sergio Camello,25,2026-03-19,Rayo Vallecano,Samsunspor,7.0,10,1080.0,2.0,108.0,0,0,0.12,0.0,4,7,0,0,0,0,2,14,0.0,1.85
Sergio Camello,25,2026-03-22,FC Barcelona,Rayo Vallecano,6.8,8,864.0,2.0,108.0,0,0,0.0,0.18,0,0,2,0,0,0,0,4,0.0,2.31
Sergio Camello,25,2026-04-03,Rayo Vallecano,Elche,6.3,12,1296.0,2.0,108.0,0,0,0.0,0.0,1,2,0,0,0,0,0,3,0.0,1.54
Sergio Camello,25,2026-04-09,Rayo Vallecano,AEK Athens,6.2,10,1080.0,2.0,108.0,0,0,0.0,0.0,4,9,0,0,0,0,0,13,0.0,1.85
Sergio Camello,25,2026-04-12,Mallorca,Rayo Vallecano,6.6,13,1404.0,3.0,108.0,0,0,0.12,0.36,7,7,1,0,0,0,2,14,0.0,2.14
Sergio Camello,25,2026-04-16,AEK Athens,Rayo Vallecano,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Sergio Camello,25,2026-04-23,Rayo Vallecano,Espanyol,7.6,9,972.0,2.0,108.0,1,0,0.35,0.0,3,4,0,0,0,0,2,6,0.0,2.06
Sergio Camello,25,2026-04-26,Rayo Vallecano,Real Sociedad,7.8,64,6912.0,13.0,108.0,1,0,0.57,0.0,5,9,2,0,0,0,4,24,0.0,1.88
Sergio Camello,25,2026-04-30,Rayo Vallecano,RC Strasbourg,7.0,11,,,0.0,0,0,0.0,0.07,2,3,1,0,0,0,2,4,,
Sergio Camello,25,2026-05-03,Getafe,Rayo Vallecano,7.4,70,,,0.0,1,0,0.07,0.02,10,12,2,0,0,0,5,35,,
Sergio Camello,25,2026-05-07,RC Strasbourg,Rayo Vallecano,7.2,25,,,0.0,0,0,0.18,0.03,5,6,1,0,1,0,4,17,,
Sergio Camello,25,2026-05-11,Rayo Vallecano,Girona FC,6.8,68,,,0.0,0,0,0.26,0.02,13,18,2,0,0,0,4,32,,
Sergio Camello,25,2026-05-14,Valencia,Rayo Vallecano,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,
