Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Alexander Freeman,2026-01-31,Osasuna,Villarreal,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Alexander Freeman,2026-02-09,Villarreal,Espanyol,6.3,17,1856.0,3.0,109.18,0,0,0.0,0.0,11,12,0,0,0,0,0,17,0,1.62
Alexander Freeman,2026-02-14,Getafe,Villarreal,6.5,12,1306.0,4.0,108.83,0,0,0.0,0.0,9,10,0,0,1,0,0,11,0,3.06
Alexander Freeman,2026-02-18,Levante UD,Villarreal,6.6,8,861.0,2.0,107.62,0,0,0.0,0.0,0,1,0,0,0,0,0,5,0,2.32
Alexander Freeman,2026-02-22,Villarreal,Valencia,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Alexander Freeman,2026-02-28,FC Barcelona,Villarreal,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Alexander Freeman,2026-03-08,Villarreal,Elche,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Alexander Freeman,2026-03-13,Deportivo Alavés,Villarreal,6.8,17,1890.0,3.0,111.18,0,0,0.0,0.0,9,12,0,0,0,0,1,22,0,1.59
Alexander Freeman,2026-03-20,Villarreal,Real Sociedad,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Alexander Freeman,2026-03-28,USA,Belgium,6.1,26,2852.0,5.0,109.69,0,0,0.0,0.0,14,16,0,0,0,0,2,23,0,1.75
Alexander Freeman,2026-04-01,USA,Portugal,6.4,79,8530.0,15.0,107.97,0,0,0.0,0.0,31,36,1,0,0,0,2,50,0,1.76
Alexander Freeman,2026-04-06,Girona FC,Villarreal,6.9,20,2217.0,5.0,110.85,0,0,0.02,0.0,10,12,1,0,1,0,3,19,0,2.26
Alexander Freeman,2026-04-12,Athletic Club,Villarreal,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Alexander Freeman,2026-04-23,Real Oviedo,Villarreal,6.8,12,1331.0,2.0,110.92,0,0,0.0,0.0,7,9,0,0,0,0,0,17,0,1.5
Alexander Freeman,2026-04-26,Villarreal,Celta Vigo,7.6,90,9857.0,20.0,109.52,0,0,0.0,0.01,50,52,0,0,2,0,6,79,0,2.03
