Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Pedro Díaz,2026-02-15,Rayo Vallecano,Atlético Madrid,6.6,26,,,0.0,0,0,0.0,0.0,5,6,0,0,0,0,1,11
Pedro Díaz,2026-02-21,Real Betis,Rayo Vallecano,6.5,8,,,0.0,0,0,0.0,0.0,2,3,0,0,0,0,1,6
Pedro Díaz,2026-02-28,Rayo Vallecano,Athletic Club,6.7,21,,,0.0,0,0,0.05,0.0,4,5,0,0,0,0,1,11
Pedro Díaz,2026-03-04,Rayo Vallecano,Real Oviedo,6.4,65,,,0.0,0,0,0.07,0.01,13,17,1,0,0,0,4,29
Pedro Díaz,2026-03-08,Sevilla,Rayo Vallecano,6.6,9,,,0.0,0,0,0.01,0.0,1,1,0,0,0,0,1,3
Pedro Díaz,2026-03-12,Samsunspor,Rayo Vallecano,6.5,15,,,0.0,0,0,0.0,0.0,3,6,0,0,0,0,0,7
Pedro Díaz,2026-03-16,Rayo Vallecano,Levante UD,6.3,90,,,0.0,0,0,0.28,0.02,39,46,0,0,0,0,5,60
Pedro Díaz,2026-03-19,Rayo Vallecano,Samsunspor,7.1,10,,,0.0,0,0,0.0,0.03,5,6,1,0,0,0,4,13
Pedro Díaz,2026-03-22,FC Barcelona,Rayo Vallecano,6.3,59,,,0.0,0,0,0.0,0.01,12,15,0,0,1,0,5,23
Pedro Díaz,2026-04-03,Rayo Vallecano,Elche,6.9,24,,,0.0,0,0,0.09,0.04,13,16,0,0,0,0,2,24
Pedro Díaz,2026-04-09,Rayo Vallecano,AEK Athens,6.7,35,,,0.0,0,0,0.0,0.0,12,14,0,0,0,0,3,25
Pedro Díaz,2026-04-12,Mallorca,Rayo Vallecano,6.4,90,,,0.0,0,0,0.11,0.05,39,45,2,0,0,0,9,54
Pedro Díaz,2026-04-16,AEK Athens,Rayo Vallecano,6.5,35,,,0.0,0,0,0.0,0.02,8,12,1,0,0,0,2,20
Pedro Díaz,2026-04-23,Rayo Vallecano,Espanyol,6.9,81,,,0.0,0,0,0.07,0.02,26,32,0,0,1,0,7,44
Pedro Díaz,2026-04-26,Rayo Vallecano,Real Sociedad,7.3,26,,,0.0,0,0,0.06,0.51,14,14,2,0,0,0,1,19
