Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Jano Monserrate,2026-01-31,Levante UD,Atlético Madrid,6.7,17,1848.0,3.0,108.71,0,0,0.0,0.0,5,6,0,0,0,0,1,12,0,1.62
Jano Monserrate,2026-02-01,UD Ibiza,Atlético Madrileño,6.6,86,9298.0,17.0,108.12,0,0,0.0,0.22,27,32,2,0,0,0,7,43,0,1.83
Jano Monserrate,2026-02-07,Atlético Madrileño,AD Alcorcón,6.5,69,7454.0,15.0,108.03,0,0,0.0,0.0,11,21,0,0,1,0,6,32,0,2.01
Jano Monserrate,2026-02-13,Atlético Sanluqueño,Atlético Madrileño,7.5,85,9210.0,16.0,108.35,0,0,0.03,0.0,31,36,1,0,0,0,4,56,0,1.74
Jano Monserrate,2026-02-21,Atlético Madrileño,Gimnàstic de Tarragona,7.4,79,8584.0,15.0,108.66,0,0,0.3,0.0,22,25,0,0,0,0,7,48,0,1.75
Jano Monserrate,2026-02-28,Sevilla Atlético,Atlético Madrileño,6.5,43,4582.0,8.0,106.56,0,0,0.0,0.04,7,9,1,0,0,0,1,13,0,1.75
Jano Monserrate,2026-03-08,Atlético Madrileño,Hércules CF,6.6,29,3142.0,6.0,108.34,0,0,0.0,0.12,13,14,1,0,0,0,1,20,0,1.91
Jano Monserrate,2026-03-15,SD Tarazona,Atlético Madrileño,6.9,53,5733.0,10.0,108.17,0,0,0.05,0.0,22,23,1,0,0,0,3,31,0,1.74
Jano Monserrate,2026-03-21,Atlético Madrileño,FC Cartagena,6.8,29,3133.0,6.0,108.03,0,0,0.02,0.04,6,7,1,0,0,0,3,12,0,1.92
Jano Monserrate,2026-03-29,Atlético Madrileño,Antequera,7.0,69,7458.0,15.0,108.09,0,0,0.31,0.0,17,20,0,0,1,0,8,27,0,2.01
Jano Monserrate,2026-04-05,Real Murcia,Atlético Madrileño,6.6,17,1844.0,3.0,108.47,0,0,0.0,0.0,4,5,0,0,0,0,2,8,0,1.63
Jano Monserrate,2026-04-10,Atlético Madrileño,Marbella FC,6.4,11,1180.0,2.0,107.27,0,0,0.0,0.0,4,4,0,0,0,0,0,6,0,1.69
Jano Monserrate,2026-04-11,Sevilla,Atlético Madrid,6.5,11,1214.0,2.0,110.36,0,0,0.02,0.01,8,8,0,0,0,0,0,14,0,1.65
Jano Monserrate,2026-04-24,Atlético Madrileño,Betis Deportivo,6.9,33,3515.0,6.0,106.52,0,0,0.0,0.08,8,9,2,0,0,0,0,12,0,1.71
