Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Mostafa Mohamed,2026-01-25,Nantes,Nice,6.9,90,,,0.0,1,0,0.76,0.28,15,23,2,0,0,0,2,42
Mostafa Mohamed,2026-01-31,Lorient,Nantes,6.7,77,,,0.0,0,0,0.29,0.33,9,15,2,0,0,0,0,31
Mostafa Mohamed,2026-02-07,Nantes,Olympique Lyonnais,5.9,45,,,0.0,0,0,0.0,0.0,2,3,0,0,1,0,2,15
Mostafa Mohamed,2026-02-13,AS Monaco,Nantes,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Mostafa Mohamed,2026-02-22,Nantes,Le Havre,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Mostafa Mohamed,2026-03-01,Lille,Nantes,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Mostafa Mohamed,2026-03-07,Nantes,Angers,6.1,24,,,0.0,0,0,0.06,0.0,3,5,0,0,0,0,0,11
Mostafa Mohamed,2026-03-22,Nantes,RC Strasbourg,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Mostafa Mohamed,2026-03-27,Saudi Arabia,Egypt,6.7,32,,,0.0,0,0,0.0,0.0,5,8,0,0,0,0,2,20
Mostafa Mohamed,2026-03-31,Spain,Egypt,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Mostafa Mohamed,2026-04-05,Metz,Nantes,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Mostafa Mohamed,2026-04-11,Auxerre,Nantes,6.8,9,,,0.0,0,0,0.02,0.0,0,2,0,0,0,0,0,9
Mostafa Mohamed,2026-04-19,Nantes,Stade Brestois,7.6,77,,,0.0,1,0,0.07,0.0,11,16,1,0,1,0,5,30
Mostafa Mohamed,2026-04-22,Paris Saint-Germain,Nantes,6.9,65,,,0.0,0,0,0.0,0.02,10,13,0,0,0,0,1,21
Mostafa Mohamed,2026-04-26,Stade Rennais,Nantes,6.5,13,,,0.0,0,0,0.1,0.0,1,3,0,0,0,0,0,6
