Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Elvis Van der Laan,18,2026-05-10,FC Groningen,NEC Nijmegen,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Elvis Van der Laan,18,2026-05-02,FC Groningen,Excelsior,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Elvis Van der Laan,18,2026-04-25,Feyenoord,FC Groningen,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Elvis Van der Laan,18,2026-04-11,FC Groningen,Go Ahead Eagles,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Elvis Van der Laan,18,2026-04-04,SC Telstar,FC Groningen,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Elvis Van der Laan,18,2026-03-22,FC Groningen,AZ Alkmaar,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Elvis Van der Laan,18,2026-03-13,PEC Zwolle,FC Groningen,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Elvis Van der Laan,18,2026-03-07,FC Groningen,AFC Ajax,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Elvis Van der Laan,18,2026-02-22,FC Twente,FC Groningen,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Elvis Van der Laan,18,2026-02-08,FC Groningen,PSV Eindhoven,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Elvis Van der Laan,18,2026-01-31,Sparta Rotterdam,FC Groningen,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Elvis Van der Laan,18,2025-12-21,Go Ahead Eagles,FC Groningen,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
