Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Pavel Šulc,2026-01-11,Lille,Olympique Lyonnais,6.8,82,,,0.0,0,0,0.0,0.0,16,17,2,0,1,0,3,27
Pavel Šulc,2026-01-18,Olympique Lyonnais,Stade Brestois,7.9,90,,,0.0,1,0,0.37,0.06,19,21,0,0,1,0,4,39
Pavel Šulc,2026-01-22,BSC Young Boys,Olympique Lyonnais,6.6,89,,,0.0,0,0,0.14,0.01,13,22,0,0,1,0,3,41
Pavel Šulc,2026-01-25,Metz,Olympique Lyonnais,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Pavel Šulc,2026-02-01,Olympique Lyonnais,Lille,7.1,82,,,0.0,0,0,0.02,0.08,17,22,0,0,0,0,1,31
Pavel Šulc,2026-02-04,Olympique Lyonnais,Stade Lavallois,6.5,90,,,0.0,0,0,0.0,0.0,17,20,2,0,0,0,7,38
Pavel Šulc,2026-02-07,Nantes,Olympique Lyonnais,6.3,89,,,0.0,1,0,0.16,0.03,9,12,1,0,0,0,3,32
Pavel Šulc,2026-02-15,Olympique Lyonnais,Nice,6.3,81,,,0.0,0,0,0.64,0.0,8,15,1,0,0,0,1,25
Pavel Šulc,2026-02-22,RC Strasbourg,Olympique Lyonnais,6.6,28,,,0.0,0,0,0.0,0.0,2,3,0,0,0,0,1,5
Pavel Šulc,2026-03-19,Olympique Lyonnais,Celta Vigo,6.4,23,,,0.0,0,0,0.0,0.0,4,4,0,0,0,0,1,4
Pavel Šulc,2026-03-22,Olympique Lyonnais,AS Monaco,7.3,90,,,0.0,1,0,0.56,0.11,14,23,4,0,0,0,1,32
Pavel Šulc,2026-03-26,Czechia,Ireland,6.5,103,,,0.0,0,0,0.0,0.0,12,21,0,0,0,0,2,46
Pavel Šulc,2026-03-31,Czechia,Denmark,7.3,112,,,0.0,1,0,0.0,0.0,12,26,1,0,0,0,4,61
Pavel Šulc,2026-04-05,Angers,Olympique Lyonnais,6.7,55,,,0.0,0,0,0.1,0.01,7,8,0,0,0,0,1,16
Pavel Šulc,2026-04-25,Olympique Lyonnais,Auxerre,6.1,32,,,0.0,0,0,0.0,0.0,4,7,0,0,0,0,2,12
